iter	Passed	Remaining
0	6886	1370434
1	11846	1172766
2	16613	1090968
3	21372	1047272
4	26094	1017675
5	30835	997012
6	35574	980832
7	40269	966472
8	45026	955569
9	49707	944444
10	54714	940090
11	59446	931335
12	64141	922655
13	68876	915072
14	73630	908106
15	78329	900786
16	83031	893812
17	88552	895363
18	93342	889209
19	98002	882021
20	102770	875999
21	107445	869335
22	112123	862863
23	116943	857586
24	121657	851602
25	126355	845606
26	131045	839661
27	135829	834380
28	141811	836201
29	147005	833033
30	152633	832096
31	157670	827768
32	162433	822011
33	167188	816272
34	171977	810750
35	176758	805231
36	181650	800244
37	186654	795736
38	191345	789913
39	196077	784310
40	200858	778940
41	205686	773774
42	210366	768082
43	215225	763072
44	219900	757433
45	224653	752101
46	229373	746683
47	234091	741291
48	238753	735750
49	243522	730567
50	248522	726075
51	253207	720668
52	257930	715392
53	262696	710253
54	267450	705097
55	272168	699861
56	276988	694901
57	282214	690937
58	287002	685888
59	291765	680786
60	296571	675793
61	301325	670692
62	306062	665563
63	310929	660725
64	315642	655565
65	320387	650483
66	325115	645379
67	329920	640434
68	334623	635299
69	339332	630188
70	344288	625537
71	348979	620407
72	353683	615312
73	358402	610252
74	363100	605167
75	367778	600059
76	372468	594982
77	377599	590603
78	382327	585589
79	387084	580626
80	391795	575600
81	396557	570655
82	401252	565621
83	406083	560782
84	411586	556852
85	416480	552079
86	421212	547091
87	425967	542140
88	430678	537138
89	435402	532158
90	440274	527361
91	445166	522586
92	449899	517626
93	454603	512638
94	459252	507594
95	463978	502642
96	468746	497741
97	474020	493368
98	478861	488535
99	483562	483562
100	488235	478567
101	492991	473658
102	497692	468701
103	502531	463875
104	507525	459189
105	512246	454256
106	516960	449320
107	521697	444408
108	526455	439517
109	531236	434648
110	536011	429775
111	540808	424920
112	545641	420095
113	550359	415183
114	555205	410368
115	559950	405481
116	564682	400586
117	569719	395906
118	574417	390990
119	579070	386047
120	583758	381131
121	588459	376228
122	593197	371351
123	597865	366433
124	603049	361829
125	607693	356899
126	612416	352018
127	617113	347126
128	621825	342245
129	626637	337420
130	631439	332590
131	636341	327812
132	641044	322932
133	645772	318066
134	650489	313198
135	655228	308342
136	659912	303463
137	664689	298628
138	669353	293744
139	674111	288904
140	678843	284055
141	683529	279187
142	688217	274324
143	692921	269469
144	698050	264777
145	702747	259920
146	707411	255053
147	712126	250206
148	716894	245380
149	721631	240543
150	726488	235748
151	732244	231235
152	737156	226446
153	741987	221632
154	746872	216833
155	751706	212019
156	756587	207218
157	761506	202425
158	766282	197594
159	771050	192762
160	775802	187927
161	780567	183096
162	785272	178251
163	789946	173402
164	795220	168683
165	799959	163847
166	804781	159028
167	809453	154181
168	814210	149352
169	818934	144517
170	823750	139700
171	828652	134896
172	833394	130067
173	838123	125236
174	842937	120419
175	847627	115585
176	852338	110755
177	857081	105931
178	861838	101109
179	866662	96295
180	871353	91468
181	876162	86653
182	880911	81833
183	885657	77013
184	890903	72235
185	895614	67411
186	900406	62595
187	905208	57779
188	909907	52957
189	914620	48137
190	919408	43322
191	924477	38519
192	929180	33700
193	933900	28883
194	938598	24066
195	943556	19256
196	948364	14442
197	953311	9629
198	958062	4814
199	962791	0
